"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Jan-2025","EQ","5,134.00","5,224.50","5,115.05","5,116.20","5,190.25","5,206.30","5,182.66","5,385.70","3,562.45","7,30,641","3,78,66,66,191.75","77,961"
"23-Jan-2025","EQ","4,996.60","5,158.00","4,977.80","5,009.70","5,111.00","5,116.20","5,092.53","5,385.70","3,562.45","4,42,186","2,25,18,44,469.45","73,775"
"22-Jan-2025","EQ","4,980.00","5,025.00","4,953.20","4,969.95","4,996.50","5,009.70","4,992.52","5,385.70","3,562.45","4,94,734","2,46,99,68,685.15","64,810"
"21-Jan-2025","EQ","5,032.35","5,080.00","4,960.00","5,016.75","4,968.70","4,969.95","5,011.12","5,385.70","3,562.45","4,16,551","2,08,73,88,107.50","46,004"
"20-Jan-2025","EQ","5,012.35","5,038.45","4,930.00","5,012.30","5,018.10","5,016.75","4,998.89","5,385.70","3,562.45","2,55,315","1,27,62,91,431.35","34,026"
"17-Jan-2025","EQ","5,005.00","5,075.40","4,998.05","5,047.80","5,021.25","5,012.30","5,027.95","5,385.70","3,562.45","1,97,564","99,33,41,437.65","25,283"
"16-Jan-2025","EQ","5,112.05","5,134.10","5,034.90","5,081.90","5,060.95","5,047.80","5,075.59","5,385.70","3,562.45","4,35,315","2,20,94,80,527.55","50,913"
"15-Jan-2025","EQ","5,037.90","5,093.40","5,004.20","5,029.55","5,089.70","5,081.90","5,060.71","5,385.70","3,562.45","4,97,259","2,51,64,85,152.45","45,744"
"14-Jan-2025","EQ","4,950.05","5,041.35","4,950.05","4,939.10","5,033.10","5,029.55","5,006.42","5,385.70","3,562.45","4,48,429","2,24,50,23,617.65","38,762"
"13-Jan-2025","EQ","5,010.00","5,024.20","4,925.60","5,058.45","4,946.55","4,939.10","4,958.84","5,385.70","3,562.45","2,13,093","1,05,66,93,933.55","42,628"
"10-Jan-2025","EQ","5,150.00","5,162.70","5,040.00","5,139.90","5,061.45","5,058.45","5,075.72","5,385.70","3,562.45","3,16,803","1,60,80,04,360.85","52,887"
"09-Jan-2025","EQ","5,186.30","5,195.85","5,105.00","5,163.20","5,153.55","5,139.90","5,140.83","5,385.70","3,562.45","2,39,408","1,23,07,56,888.55","53,390"
"08-Jan-2025","EQ","5,212.20","5,237.85","5,134.30","5,177.30","5,163.75","5,163.20","5,171.49","5,385.70","3,562.45","3,43,162","1,77,46,58,603.50","69,284"
"07-Jan-2025","EQ","5,250.10","5,292.00","5,166.50","5,250.10","5,175.00","5,177.30","5,205.63","5,385.70","3,562.45","4,39,721","2,28,90,22,759.00","73,865"
"06-Jan-2025","EQ","5,310.75","5,350.00","5,188.45","5,310.75","5,246.00","5,250.10","5,257.03","5,385.70","3,562.45","4,19,050","2,20,29,58,391.65","54,279"
"03-Jan-2025","EQ","5,325.00","5,385.70","5,270.75","5,308.10","5,310.00","5,310.75","5,325.66","5,385.70","3,562.45","8,36,689","4,45,59,22,961.50","79,634"
"02-Jan-2025","EQ","4,885.00","5,330.00","4,867.25","4,885.30","5,303.00","5,308.10","5,194.51","5,330.00","3,562.45","28,63,478","14,87,43,73,119.00","2,36,386"
"01-Jan-2025","EQ","4,829.00","4,906.45","4,742.45","4,821.90","4,867.25","4,885.30","4,835.92","5,105.00","3,562.45","2,90,234","1,40,35,47,368.70","39,120"
"31-Dec-2024","EQ","4,827.00","4,872.40","4,810.00","4,855.80","4,825.00","4,821.90","4,839.75","5,105.00","3,562.45","3,13,948","1,51,94,29,728.05","33,582"
"30-Dec-2024","EQ","4,890.00","4,904.95","4,832.30","4,876.90","4,850.00","4,855.80","4,870.85","5,105.00","3,562.45","2,42,799","1,18,26,37,597.05","35,170"
"27-Dec-2024","EQ","4,820.00","4,954.95","4,789.55","4,801.35","4,874.00","4,876.90","4,897.11","5,105.00","3,562.45","4,08,992","2,00,28,78,067.80","49,541"
"26-Dec-2024","EQ","4,792.90","4,824.35","4,772.00","4,792.90","4,800.00","4,801.35","4,796.38","5,105.00","3,562.45","3,28,172","1,57,40,38,704.10","39,609"
"24-Dec-2024","EQ","4,750.55","4,808.00","4,738.65","4,750.55","4,800.00","4,792.90","4,784.68","5,105.00","3,562.45","2,27,611","1,08,90,45,934.95","28,645"
"23-Dec-2024","EQ","4,750.00","4,776.20","4,698.00","4,734.50","4,756.95","4,750.55","4,747.80","5,105.00","3,562.45","3,71,318","1,76,29,42,881.90","46,896"
"20-Dec-2024","EQ","4,748.00","4,822.45","4,720.00","4,771.95","4,740.00","4,734.50","4,764.90","5,105.00","3,562.45","3,86,086","1,83,96,59,681.80","40,390"
"19-Dec-2024","EQ","4,710.00","4,780.00","4,673.60","4,749.85","4,770.00","4,771.95","4,741.97","5,105.00","3,562.45","5,00,287","2,37,23,46,460.85","64,173"
"18-Dec-2024","EQ","4,724.00","4,799.35","4,716.35","4,742.65","4,758.95","4,749.85","4,764.63","5,105.00","3,562.45","3,31,577","1,57,98,42,543.95","29,155"
"17-Dec-2024","EQ","4,808.10","4,830.00","4,726.95","4,838.50","4,730.00","4,742.65","4,777.02","5,105.00","3,562.45","4,02,231","1,92,14,64,369.25","33,489"
"16-Dec-2024","EQ","4,820.00","4,865.00","4,800.00","4,825.90","4,822.00","4,838.50","4,827.91","5,105.00","3,562.45","4,04,180","1,95,13,45,500.15","31,195"
"13-Dec-2024","EQ","4,788.00","4,858.45","4,754.20","4,807.65","4,831.00","4,825.90","4,808.21","5,105.00","3,562.45","4,04,369","1,94,42,91,918.80","32,779"
"12-Dec-2024","EQ","4,801.95","4,820.00","4,775.00","4,801.95","4,802.70","4,807.65","4,798.80","5,105.00","3,562.45","2,36,847","1,13,65,81,257.35","37,435"
"11-Dec-2024","EQ","4,822.00","4,833.60","4,795.10","4,813.05","4,803.35","4,801.95","4,810.77","5,105.00","3,562.45","2,40,736","1,15,81,24,479.90","29,297"
"10-Dec-2024","EQ","4,840.00","4,874.90","4,797.50","4,842.10","4,815.60","4,813.05","4,823.61","5,105.00","3,562.45","3,42,297","1,65,11,07,195.40","36,118"
"09-Dec-2024","EQ","4,886.60","4,888.00","4,815.00","4,877.05","4,857.40","4,842.10","4,841.16","5,105.00","3,562.45","3,77,043","1,82,53,26,125.50","28,283"
"06-Dec-2024","EQ","4,851.00","4,928.70","4,827.55","4,837.55","4,882.85","4,877.05","4,881.97","5,105.00","3,562.45","3,27,806","1,60,03,40,003.65","36,748"
"05-Dec-2024","EQ","4,797.05","4,880.00","4,760.00","4,797.05","4,826.05","4,837.55","4,815.03","5,105.00","3,562.45","5,25,957","2,53,24,99,340.10","77,188"
"04-Dec-2024","EQ","4,836.05","4,878.80","4,751.00","4,844.35","4,803.55","4,797.05","4,807.13","5,105.00","3,562.45","3,49,544","1,68,03,02,375.50","42,361"
"03-Dec-2024","EQ","4,820.75","4,870.00","4,820.75","4,820.70","4,842.00","4,844.35","4,842.19","5,105.00","3,562.45","3,51,449","1,70,17,82,565.60","47,974"
"02-Dec-2024","EQ","4,838.05","4,845.50","4,693.55","4,831.85","4,824.95","4,820.70","4,800.07","5,105.00","3,562.45","2,50,521","1,20,25,19,159.05","31,210"
"29-Nov-2024","EQ","4,838.00","4,864.30","4,808.00","4,815.70","4,832.20","4,831.85","4,833.97","5,105.00","3,562.45","4,07,774","1,97,11,67,857.30","33,922"
"28-Nov-2024","EQ","4,920.00","4,920.00","4,793.80","4,917.50","4,849.00","4,815.70","4,833.49","5,105.00","3,562.45","9,54,250","4,61,23,61,482.25","1,11,888"
"27-Nov-2024","EQ","4,933.00","4,971.90","4,890.10","4,931.75","4,923.00","4,917.50","4,922.02","5,105.00","3,562.45","1,89,349","93,19,79,840.35","28,494"
"26-Nov-2024","EQ","5,009.00","5,014.35","4,875.00","5,002.35","4,947.00","4,931.75","4,920.24","5,105.00","3,562.45","5,64,637","2,77,81,51,704.00","59,597"
"25-Nov-2024","EQ","4,999.00","5,067.00","4,988.00","4,986.20","5,009.00","5,002.35","5,014.01","5,105.00","3,562.45","9,45,466","4,74,05,75,647.90","66,541"
"22-Nov-2024","EQ","4,913.00","5,005.00","4,882.00","4,882.10","4,980.50","4,986.20","4,951.57","5,105.00","3,562.45","3,39,941","1,68,32,41,250.30","57,001"
"21-Nov-2024","EQ","4,890.30","4,958.00","4,867.40","4,965.45","4,895.00","4,882.10","4,905.07","5,105.00","3,562.45","5,93,722","2,91,22,47,388.40","79,979"
"19-Nov-2024","EQ","4,880.00","5,014.05","4,880.00","4,875.65","4,953.00","4,965.45","4,976.95","5,105.00","3,562.45","4,52,273","2,25,09,39,661.10","54,001"
"18-Nov-2024","EQ","4,879.95","4,914.00","4,863.00","4,883.70","4,874.00","4,875.65","4,888.48","5,105.00","3,562.45","4,94,329","2,41,65,17,437.70","65,184"
"14-Nov-2024","EQ","4,725.45","4,973.00","4,705.30","4,588.70","4,890.95","4,883.70","4,912.07","5,105.00","3,562.45","28,74,648","14,12,04,83,874.35","1,97,367"
"13-Nov-2024","EQ","4,700.00","4,719.95","4,536.05","4,738.20","4,598.80","4,588.70","4,593.50","5,105.00","3,562.45","6,56,931","3,01,76,13,123.10","65,871"
"12-Nov-2024","EQ","4,788.00","4,807.25","4,705.55","4,793.45","4,719.00","4,738.20","4,746.31","5,105.00","3,562.45","3,26,018","1,54,73,83,469.20","48,915"
"11-Nov-2024","EQ","4,762.00","4,832.60","4,750.30","4,785.25","4,789.10","4,793.45","4,801.84","5,105.00","3,562.45","2,09,237","1,00,47,23,215.35","24,620"
"08-Nov-2024","EQ","4,875.00","4,877.95","4,755.35","4,878.00","4,792.20","4,785.25","4,802.10","5,105.00","3,437.45","1,94,765","93,52,80,496.80","34,777"
"07-Nov-2024","EQ","4,917.15","4,920.95","4,817.65","4,917.15","4,875.00","4,878.00","4,860.81","5,105.00","3,437.45","2,21,554","1,07,69,30,944.00","29,733"
"06-Nov-2024","EQ","4,910.95","4,960.40","4,906.95","4,899.80","4,920.95","4,917.15","4,933.49","5,105.00","3,437.45","3,70,356","1,82,71,46,105.15","47,097"
"05-Nov-2024","EQ","4,831.85","4,910.00","4,808.00","4,831.85","4,910.00","4,899.80","4,878.86","5,105.00","3,437.45","4,99,976","2,43,93,13,859.80","60,862"
"04-Nov-2024","EQ","5,002.45","5,015.00","4,791.05","4,953.60","4,830.35","4,831.85","4,874.60","5,105.00","3,437.45","7,19,165","3,50,56,39,875.20","81,208"
"01-Nov-2024","EQ","4,984.85","4,990.00","4,930.00","4,894.65","4,940.00","4,953.60","4,961.13","5,105.00","3,275.00","79,729","39,55,46,092.20","7,715"
"31-Oct-2024","EQ","4,869.00","4,915.00","4,820.70","4,869.25","4,909.95","4,894.65","4,886.53","5,105.00","3,275.00","5,10,074","2,49,24,90,505.15","62,287"
"30-Oct-2024","EQ","4,850.10","4,947.75","4,850.10","4,898.15","4,866.20","4,869.25","4,906.05","5,105.00","3,275.00","8,42,334","4,13,25,35,704.40","78,134"
"29-Oct-2024","EQ","4,688.00","4,918.55","4,685.45","4,720.65","4,880.00","4,898.15","4,810.84","5,105.00","3,275.00","10,65,819","5,12,74,84,242.65","97,905"
"28-Oct-2024","EQ","4,591.60","4,765.00","4,533.65","4,591.60","4,697.95","4,720.65","4,671.34","5,105.00","3,275.00","9,89,928","4,62,42,93,659.30","69,991"
