"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Jan-2025","EQ","2,466.35","2,514.05","2,453.45","2,461.15","2,495.00","2,490.75","2,488.90","2,877.75","2,016.55","15,10,105","3,75,84,96,637.55","87,953"
"23-Jan-2025","EQ","2,388.00","2,475.75","2,365.40","2,388.15","2,458.95","2,461.15","2,446.48","2,877.75","2,016.55","5,96,720","1,45,98,62,401.00","48,727"
"22-Jan-2025","EQ","2,380.95","2,396.45","2,370.30","2,367.50","2,390.00","2,388.15","2,385.03","2,877.75","2,016.55","3,36,546","80,26,72,840.65","37,152"
"21-Jan-2025","EQ","2,404.90","2,426.50","2,361.65","2,402.00","2,375.95","2,367.50","2,387.82","2,877.75","2,016.55","3,16,019","75,45,95,410.80","32,379"
"20-Jan-2025","EQ","2,380.05","2,410.65","2,373.00","2,375.85","2,398.00","2,402.00","2,397.30","2,877.75","2,016.55","6,81,711","1,63,42,65,273.75","78,602"
"17-Jan-2025","EQ","2,363.10","2,387.25","2,348.65","2,350.70","2,372.00","2,375.85","2,371.40","2,877.75","2,016.55","4,43,089","1,05,07,43,175.30","45,197"
"16-Jan-2025","EQ","2,330.00","2,359.75","2,313.15","2,317.55","2,359.00","2,350.70","2,347.74","2,877.75","2,016.55","13,95,232","3,27,56,42,715.90","1,13,575"
"15-Jan-2025","EQ","2,326.90","2,349.75","2,296.75","2,310.60","2,318.00","2,317.55","2,324.85","2,877.75","2,016.55","5,83,299","1,35,60,80,848.60","47,894"
"14-Jan-2025","EQ","2,308.00","2,330.45","2,294.15","2,288.15","2,311.25","2,310.60","2,307.41","2,877.75","2,016.55","8,65,382","1,99,67,90,083.30","47,322"
"13-Jan-2025","EQ","2,329.95","2,348.20","2,276.95","2,364.10","2,290.00","2,288.15","2,305.73","2,877.75","2,016.55","4,22,845","97,49,66,514.60","40,427"
"10-Jan-2025","EQ","2,400.00","2,424.90","2,352.20","2,410.40","2,362.00","2,364.10","2,371.91","2,877.75","2,016.55","4,13,994","98,19,56,951.40","37,616"
"09-Jan-2025","EQ","2,435.05","2,438.80","2,396.40","2,435.75","2,414.00","2,410.40","2,413.17","2,877.75","2,016.55","7,66,796","1,85,04,10,398.75","87,249"
"08-Jan-2025","EQ","2,468.85","2,476.35","2,433.15","2,467.25","2,433.50","2,435.75","2,442.87","2,877.75","2,016.55","5,43,301","1,32,72,14,763.05","49,358"
"07-Jan-2025","EQ","2,460.60","2,497.00","2,456.60","2,460.55","2,465.00","2,467.25","2,474.20","2,877.75","2,016.55","4,95,162","1,22,51,31,857.80","32,419"
"06-Jan-2025","EQ","2,517.00","2,527.95","2,445.75","2,510.00","2,458.15","2,460.55","2,474.72","2,877.75","2,016.55","3,93,162","97,29,66,216.65","36,606"
"03-Jan-2025","EQ","2,541.20","2,553.90","2,501.10","2,543.95","2,515.00","2,510.00","2,520.71","2,877.75","2,016.55","5,95,091","1,50,00,49,934.70","25,531"
"02-Jan-2025","EQ","2,445.00","2,559.50","2,445.00","2,442.15","2,538.00","2,543.95","2,521.62","2,877.75","2,016.55","9,70,593","2,44,74,71,537.90","67,851"
"01-Jan-2025","EQ","2,440.00","2,473.85","2,425.95","2,442.70","2,446.70","2,442.15","2,450.49","2,877.75","2,016.55","4,87,637","1,19,49,49,941.45","35,854"
"31-Dec-2024","EQ","2,430.00","2,447.00","2,413.10","2,443.50","2,444.00","2,442.70","2,428.03","2,877.75","2,016.55","5,30,535","1,28,81,54,146.85","33,543"
"30-Dec-2024","EQ","2,489.00","2,490.00","2,436.00","2,480.30","2,445.00","2,443.50","2,461.03","2,877.75","2,016.55","7,63,318","1,87,85,48,301.40","43,171"
"27-Dec-2024","EQ","2,482.05","2,520.60","2,474.90","2,482.05","2,488.90","2,480.30","2,493.13","2,877.75","2,016.55","4,28,996","1,06,95,43,695.50","28,668"
"26-Dec-2024","EQ","2,500.25","2,518.25","2,472.50","2,501.85","2,485.15","2,482.05","2,490.01","2,877.75","2,016.55","5,59,646","1,39,35,22,610.45","32,412"
"24-Dec-2024","EQ","2,515.00","2,542.40","2,495.00","2,526.20","2,500.00","2,501.85","2,512.06","2,877.75","2,016.55","3,64,336","91,52,34,939.10","24,137"
"23-Dec-2024","EQ","2,495.70","2,553.70","2,495.00","2,488.70","2,520.00","2,526.20","2,525.90","2,877.75","2,016.55","3,47,378","87,74,42,473.65","35,104"
"20-Dec-2024","EQ","2,530.00","2,563.20","2,479.75","2,539.05","2,487.80","2,488.70","2,504.78","2,877.75","2,016.55","7,34,974","1,84,09,51,452.15","52,920"
"19-Dec-2024","EQ","2,570.00","2,594.00","2,527.25","2,594.15","2,537.00","2,539.05","2,547.33","2,877.75","2,016.55","5,10,040","1,29,92,37,697.35","41,074"
"18-Dec-2024","EQ","2,607.00","2,617.90","2,576.25","2,599.70","2,588.00","2,594.15","2,596.26","2,877.75","2,016.55","3,69,646","95,96,97,137.50","28,584"
