"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Jan-2025","EQ","970.85","973.00","948.25","970.95","950.00","950.80","959.07","1,576.35","926.45","29,38,649","2,81,83,84,276.25","1,28,948"
"23-Jan-2025","EQ","965.95","988.55","962.50","970.95","969.70","970.95","976.24","1,576.35","926.45","33,59,986","3,28,01,55,278.10","1,47,356"
"22-Jan-2025","EQ","964.45","977.55","949.15","960.45","970.05","970.95","959.03","1,576.35","926.45","26,39,472","2,53,13,34,971.75","1,01,453"
"21-Jan-2025","EQ","971.55","978.50","958.00","970.70","960.00","960.45","964.55","1,576.35","926.45","33,69,291","3,24,98,53,819.20","1,17,190"
"20-Jan-2025","EQ","966.20","980.45","948.10","970.95","970.00","970.70","966.74","1,576.35","926.45","44,85,164","4,33,60,00,501.10","1,40,069"
"17-Jan-2025","EQ","972.85","975.60","959.00","975.35","972.90","970.95","967.73","1,694.50","926.45","30,66,978","2,96,80,00,664.95","1,06,414"
"16-Jan-2025","EQ","967.00","990.65","967.00","962.45","977.50","975.35","980.76","1,694.50","926.45","39,48,431","3,87,24,75,963.20","1,72,189"
"15-Jan-2025","EQ","971.25","983.00","954.65","962.10","962.50","962.45","966.57","1,694.50","926.45","36,33,812","3,51,23,46,325.90","1,65,971"
"14-Jan-2025","EQ","945.10","979.30","945.10","941.70","964.00","962.10","967.95","1,694.50","926.45","57,35,697","5,55,18,63,702.65","1,62,328"
"13-Jan-2025","EQ","936.90","973.50","934.50","937.60","943.00","941.70","953.88","1,694.50","926.45","87,52,532","8,34,88,36,853.50","2,45,407"
"10-Jan-2025","EQ","971.75","975.00","933.05","980.90","938.80","937.60","948.51","1,694.50","926.45","56,11,356","5,32,24,00,942.85","2,06,468"
"09-Jan-2025","EQ","981.05","985.35","970.40","981.05","981.00","980.90","978.18","1,694.50","926.45","31,34,034","3,06,56,58,307.80","1,27,219"
"08-Jan-2025","EQ","985.90","986.00","967.10","983.60","980.40","981.05","977.52","1,694.50","926.45","37,81,895","3,69,68,73,312.95","1,11,540"
"07-Jan-2025","EQ","970.15","994.55","970.15","970.05","976.35","983.60","984.91","1,694.50","926.45","35,81,533","3,52,74,75,867.15","1,00,139"
"06-Jan-2025","EQ","1,004.95","1,004.95","963.20","997.90","970.00","970.05","978.71","1,694.50","926.45","33,70,654","3,29,88,86,734.30","1,05,249"
"03-Jan-2025","EQ","993.00","1,025.40","990.65","991.35","996.00","997.90","1,006.74","1,694.50","926.45","58,96,120","5,93,58,77,074.95","1,58,049"
"02-Jan-2025","EQ","975.50","998.00","968.80","969.40","996.00","991.35","983.35","1,694.50","926.45","39,56,740","3,89,08,67,269.10","1,12,313"
"01-Jan-2025","EQ","958.60","979.30","953.50","960.15","970.40","969.40","970.55","1,694.50","926.45","40,24,591","3,90,60,57,106.70","89,665"
"31-Dec-2024","EQ","958.00","961.45","949.05","963.50","960.55","960.15","955.89","1,694.50","926.45","22,95,670","2,19,44,10,923.15","81,920"
"30-Dec-2024","EQ","953.30","973.50","948.85","953.40","961.00","963.50","961.70","1,694.50","926.45","81,65,774","7,85,30,46,403.45","1,55,110"
"27-Dec-2024","EQ","933.05","971.10","933.05","931.95","954.00","953.40","958.32","1,694.50","926.45","63,00,341","6,03,77,68,107.05","1,53,980"
"26-Dec-2024","EQ","940.00","945.00","928.25","935.30","931.85","931.95","934.54","1,694.50","926.45","52,62,262","4,91,77,74,070.25","1,59,094"
"24-Dec-2024","EQ","941.00","946.00","929.80","945.70","936.60","935.30","936.86","1,694.50","926.45","56,03,093","5,24,93,40,087.85","1,64,385"
"23-Dec-2024","EQ","938.95","948.80","930.05","929.45","943.50","945.70","943.10","1,694.50","926.45","25,02,370","2,35,99,72,683.25","92,367"
"20-Dec-2024","EQ","960.00","966.85","926.45","964.40","930.90","929.45","940.88","1,694.50","926.45","44,66,131","4,20,20,74,295.15","1,70,098"
"19-Dec-2024","EQ","959.00","966.85","948.00","965.20","964.00","964.40","957.72","1,694.50","948.00","36,65,813","3,51,08,20,222.70","1,35,199"
"18-Dec-2024","EQ","976.80","979.30","960.50","975.65","967.50","965.20","967.99","1,694.50","960.50","29,58,191","2,86,34,99,012.35","1,38,369"
"17-Dec-2024","EQ","1,002.00","1,002.00","972.00","999.35","974.45","975.65","983.94","1,694.50","965.55","32,94,161","3,24,12,51,410.80","1,11,567"
"16-Dec-2024","EQ","987.90","1,007.95","985.55","986.65","998.20","999.35","998.57","1,694.50","965.55","30,58,066","3,05,36,91,934.35","1,15,304"
"13-Dec-2024","EQ","991.00","997.65","965.55","997.95","987.50","986.65","979.88","1,694.50","965.55","56,74,567","5,56,03,70,663.05","1,62,476"
"12-Dec-2024","EQ","986.00","1,005.50","986.00","984.85","998.00","997.95","998.56","1,694.50","966.40","57,71,673","5,76,33,63,907.15","1,01,466"
"11-Dec-2024","EQ","985.50","999.90","981.25","984.30","984.30","984.85","988.67","1,694.50","966.40","46,79,888","4,62,68,66,818.50","1,13,427"
"10-Dec-2024","EQ","983.00","988.40","979.10","982.60","983.60","984.30","983.98","1,694.50","966.40","38,43,321","3,78,17,37,830.05","99,395"
"09-Dec-2024","EQ","992.80","994.00","977.80","990.35","982.75","982.60","984.15","1,694.50","966.40","35,65,285","3,50,87,92,602.55","1,03,239"
"06-Dec-2024","EQ","1,000.00","1,003.05","986.30","998.20","988.35","990.35","993.79","1,694.50","966.40","62,58,019","6,21,91,55,695.70","1,68,213"
