"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Jan-2025","EQ","439.40","445.00","439.05","440.20","441.40","441.60","442.53","461.75","431.10","96,65,384","4,27,72,28,029.70","1,41,694"
"23-Jan-2025","EQ","435.00","441.85","434.10","437.00","440.45","440.20","439.59","461.75","431.10","88,88,248","3,90,71,65,756.85","1,31,321"
"22-Jan-2025","EQ","439.90","441.95","436.55","437.55","436.75","437.00","438.79","461.75","431.10","96,19,648","4,22,09,97,156.10","1,33,708"
"21-Jan-2025","EQ","438.00","447.00","435.25","437.70","437.95","437.55","440.22","461.75","431.10","1,56,86,500","6,90,54,71,880.05","2,16,692"
"20-Jan-2025","EQ","439.00","441.20","436.00","440.20","437.45","437.70","437.61","461.75","431.10","87,42,771","3,82,59,27,431.85","1,52,896"
"17-Jan-2025","EQ","433.00","441.80","432.50","432.85","439.65","440.20","438.78","461.75","431.10","1,12,70,061","4,94,51,04,351.05","1,19,845"
"16-Jan-2025","EQ","438.05","439.45","431.10","437.35","432.90","432.85","432.62","461.75","431.10","1,57,74,070","6,82,41,78,083.40","1,97,000"
"15-Jan-2025","EQ","436.60","441.80","435.35","436.60","437.00","437.35","437.99","461.75","435.00","97,86,805","4,28,65,12,512.75","1,23,376"
"14-Jan-2025","EQ","441.00","441.50","435.85","439.05","436.95","436.60","438.04","461.75","435.00","1,80,48,459","7,90,59,15,833.35","2,33,131"
"13-Jan-2025","EQ","435.00","444.00","435.00","444.90","439.00","439.05","440.27","461.75","435.00","1,77,99,607","7,83,66,65,097.95","1,72,276"
"10-Jan-2025","EQ","449.95","452.00","442.50","450.10","443.85","444.90","445.59","461.75","437.10","91,45,729","4,07,52,02,264.90","1,69,176"
"09-Jan-2025","EQ","449.40","460.65","446.05","449.55","450.45","450.10","452.64","461.75","437.10","1,97,32,649","8,93,18,46,709.45","2,14,398"
"08-Jan-2025","EQ","443.00","452.05","437.10","441.10","449.65","449.55","444.83","461.75","437.10","1,34,82,926","5,99,76,60,207.25","1,63,390"
"07-Jan-2025","EQ","445.50","447.60","440.15","442.65","441.10","441.10","442.97","461.75","440.15","1,42,94,780","6,33,20,98,307.30","1,80,441"
"06-Jan-2025","EQ","455.60","461.75","441.25","481.60","445.35","442.65","450.15","461.75","441.25","2,20,09,958","9,90,77,71,203.05","2,86,532"
"03-Jan-2025","EQ","490.25","491.00","479.85","489.05","483.95","481.60","482.67","528.50","399.35","3,70,72,992","17,89,39,61,935.85","2,27,193"
"02-Jan-2025","EQ","485.35","490.00","482.30","483.95","489.50","489.05","486.22","528.50","399.35","2,61,24,980","12,70,24,91,020.45","2,24,779"
"01-Jan-2025","EQ","486.00","486.85","482.15","483.65","484.70","483.95","484.93","528.50","399.35","1,82,29,128","8,83,99,30,024.40","1,64,587"
"31-Dec-2024","EQ","478.45","484.65","474.55","477.00","484.45","483.65","479.83","528.50","399.35","1,32,76,195","6,37,02,64,307.20","1,52,025"
"30-Dec-2024","EQ","480.75","481.45","476.00","478.60","476.80","477.00","478.45","528.50","399.35","1,30,74,810","6,25,56,56,373.25","1,58,954"
"27-Dec-2024","EQ","479.75","481.90","476.00","476.95","479.70","478.60","479.17","528.50","399.35","1,62,79,450","7,80,06,52,449.55","1,66,926"
"26-Dec-2024","EQ","480.55","481.85","476.00","478.45","477.00","476.95","478.43","528.50","399.35","88,48,065","4,23,31,60,326.90","1,48,089"
"24-Dec-2024","EQ","474.90","480.25","472.65","474.25","478.25","478.45","478.09","528.50","399.35","1,15,64,497","5,52,88,95,414.85","1,72,646"
"23-Dec-2024","EQ","471.20","477.70","467.60","464.65","474.50","474.25","473.08","528.50","399.35","1,88,37,469","8,91,16,59,177.30","2,40,219"
"20-Dec-2024","EQ","466.50","467.45","459.30","466.55","465.65","464.65","463.94","528.50","399.35","1,94,81,288","9,03,81,76,739.25","2,41,995"
"19-Dec-2024","EQ","469.00","474.35","465.30","470.50","466.00","466.55","468.63","528.50","399.35","1,45,99,270","6,84,16,13,826.05","2,08,360"
"18-Dec-2024","EQ","472.70","473.80","466.90","469.55","471.25","470.50","470.47","528.50","399.35","1,23,65,167","5,81,74,85,040.30","1,71,373"
"17-Dec-2024","EQ","470.00","475.80","463.05","470.10","470.70","469.55","470.32","528.50","399.35","1,98,44,152","9,33,30,64,294.30","2,35,005"
"16-Dec-2024","EQ","470.25","474.40","468.00","470.00","470.00","470.10","470.12","528.50","399.35","90,07,264","4,23,44,93,701.85","1,53,567"
"13-Dec-2024","EQ","460.00","474.40","451.65","460.60","471.00","470.00","464.46","528.50","399.35","3,17,53,858","14,74,84,33,018.55","2,49,426"
"12-Dec-2024","EQ","465.50","467.90","459.15","465.25","460.85","460.60","462.32","528.50","399.35","1,28,84,401","5,95,67,25,495.60","1,65,742"
"11-Dec-2024","EQ","467.20","468.20","464.70","465.45","465.25","465.25","466.13","528.50","399.35","67,45,816","3,14,44,31,682.05","1,08,407"
"10-Dec-2024","EQ","465.35","466.45","462.60","464.95","465.35","465.45","464.64","528.50","399.35","88,23,805","4,09,99,16,466.30","1,37,180"
"09-Dec-2024","EQ","471.50","472.00","462.95","471.15","465.20","464.95","467.02","528.50","399.35","1,17,03,384","5,46,56,95,132.70","1,60,632"
"06-Dec-2024","EQ","470.00","474.95","467.70","467.50","471.95","471.15","472.38","528.50","399.35","75,51,407","3,56,71,34,560.35","1,18,458"
"05-Dec-2024","EQ","467.55","472.75","462.50","467.10","467.70","467.50","468.00","528.50","399.35","2,64,15,053","12,36,22,22,644.55","2,80,989"
"04-Dec-2024","EQ","474.40","478.20","466.40","472.55","467.20","467.10","470.88","528.50","399.35","1,34,39,484","6,32,83,46,244.15","1,84,751"
"03-Dec-2024","EQ","466.00","473.40","462.75","477.20","472.55","472.55","469.06","528.50","399.35","2,22,18,251","10,42,16,81,081.05","2,89,294"
"02-Dec-2024","EQ","476.00","479.30","473.40","476.75","477.40","477.20","476.84","528.50","399.35","54,78,598","2,61,23,98,108.20","1,05,775"
"29-Nov-2024","EQ","473.20","478.90","472.60","474.90","477.00","476.75","476.39","528.50","399.35","83,46,687","3,97,63,06,074.10","1,26,718"
"28-Nov-2024","EQ","477.00","483.80","470.55","476.95","475.55","474.90","476.02","528.50","399.35","1,44,12,539","6,86,05,90,338.25","1,97,328"
"27-Nov-2024","EQ","477.50","480.10","473.00","477.00","476.95","476.95","475.67","528.50","399.35","70,67,013","3,36,15,55,101.90","92,526"
"26-Nov-2024","EQ","480.00","482.65","474.10","476.80","477.00","477.00","476.76","528.50","399.35","65,39,846","3,11,79,27,466.80","1,24,209"
"25-Nov-2024","EQ","479.00","482.20","472.40","474.65","478.15","476.80","476.97","528.50","399.35","1,38,91,991","6,62,60,51,098.65","1,37,597"
"22-Nov-2024","EQ","456.20","476.50","455.50","457.15","474.00","474.65","465.47","528.50","399.35","1,94,64,568","9,06,02,24,659.45","1,78,132"
"21-Nov-2024","EQ","461.00","464.05","455.40","467.35","457.00","457.15","458.53","528.50","399.35","1,95,59,847","8,96,87,97,499.25","2,36,495"
"19-Nov-2024","EQ","468.00","473.75","466.25","466.55","466.60","467.35","471.03","528.50","399.35","68,57,374","3,23,00,38,399.65","1,11,105"
"18-Nov-2024","EQ","466.00","467.80","462.00","465.95","467.40","466.55","464.79","528.50","399.35","81,35,260","3,78,11,91,097.20","1,83,896"
"14-Nov-2024","EQ","471.20","472.95","462.25","472.20","467.00","465.95","465.91","528.50","399.35","1,16,39,562","5,42,29,31,558.70","2,30,824"
"13-Nov-2024","EQ","470.05","474.70","468.25","472.85","472.00","472.20","471.96","528.50","399.35","1,11,20,381","5,24,84,10,369.00","1,88,101"
"12-Nov-2024","EQ","477.60","477.95","471.15","476.95","471.90","472.85","474.91","528.50","399.35","50,41,916","2,39,44,32,824.50","1,29,476"
"11-Nov-2024","EQ","478.05","481.50","474.10","478.05","477.30","476.95","478.38","528.50","399.35","54,88,948","2,62,58,14,462.70","1,23,605"
"08-Nov-2024","EQ","477.90","480.70","474.60","477.90","478.80","478.05","477.78","528.50","399.35","60,90,462","2,90,99,20,473.35","1,05,996"
"07-Nov-2024","EQ","481.75","482.70","476.10","481.10","478.00","477.90","477.82","528.50","399.35","89,24,280","4,26,41,65,090.20","1,32,407"
"06-Nov-2024","EQ","480.20","484.40","478.00","480.20","481.95","481.10","480.83","528.50","399.35","1,13,13,985","5,44,01,09,205.55","1,40,673"
"05-Nov-2024","EQ","482.95","485.05","476.95","484.60","480.95","480.20","479.98","528.50","399.35","73,27,830","3,51,72,42,119.05","1,50,450"
"04-Nov-2024","EQ","493.45","493.45","479.55","490.30","485.25","484.60","483.55","528.50","399.35","84,29,731","4,07,61,59,422.90","1,70,904"
"01-Nov-2024","EQ","491.00","492.10","489.30","488.80","489.95","490.30","490.89","528.50","399.35","14,61,602","71,74,91,831.90","54,687"
"31-Oct-2024","EQ","492.00","493.00","484.70","491.55","489.25","488.80","487.80","528.50","399.35","78,10,874","3,81,01,27,063.40","1,61,609"
"30-Oct-2024","EQ","487.95","493.25","486.50","487.95","491.80","491.55","490.85","528.50","399.35","63,93,835","3,13,83,98,995.85","92,835"
"29-Oct-2024","EQ","485.00","489.20","481.30","484.15","488.00","487.95","486.12","528.50","399.35","68,66,704","3,33,80,33,179.65","1,11,564"
"28-Oct-2024","EQ","481.95","485.90","476.00","482.30","484.00","484.15","482.79","528.50","399.35","86,14,446","4,15,89,85,648.85","1,13,970"
