"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Jan-2025","EQ","750.05","754.15","732.20","752.50","733.40","734.10","740.71","1,179.00","717.70","95,13,166","7,04,64,64,980.20","2,11,930"
"23-Jan-2025","EQ","742.75","759.70","739.80","742.75","753.00","752.50","751.71","1,179.00","717.70","79,16,689","5,95,10,70,317.85","2,02,401"
"22-Jan-2025","EQ","764.15","765.45","731.00","760.75","744.35","742.75","742.63","1,179.00","717.70","1,24,18,474","9,22,23,25,023.80","3,57,913"
"21-Jan-2025","EQ","775.00","786.65","758.40","774.35","761.00","760.75","770.74","1,179.00","717.70","1,16,57,178","8,98,46,60,555.80","2,85,590"
"20-Jan-2025","EQ","780.00","783.00","767.00","779.75","773.95","774.35","774.11","1,179.00","717.70","99,56,101","7,70,71,54,628.95","1,79,913"
"17-Jan-2025","EQ","773.90","785.50","772.25","774.35","779.90","779.75","779.92","1,179.00","717.70","70,07,239","5,46,50,86,692.60","1,46,024"
"16-Jan-2025","EQ","769.90","781.00","767.35","763.60","775.45","774.35","775.08","1,179.00","717.70","86,80,163","6,72,77,85,831.25","1,91,171"
"15-Jan-2025","EQ","771.00","785.00","756.05","770.50","763.00","763.60","766.16","1,179.00","717.70","1,05,00,910","8,04,54,21,842.20","2,49,215"
"14-Jan-2025","EQ","751.50","779.00","751.50","751.00","772.30","770.50","772.37","1,179.00","717.70","1,13,77,053","8,78,72,40,473.25","2,77,895"
"13-Jan-2025","EQ","769.00","773.55","748.80","774.65","750.60","751.00","760.91","1,179.00","717.70","1,22,30,175","9,30,61,20,971.50","3,05,264"
"10-Jan-2025","EQ","780.05","787.95","766.80","780.10","776.50","774.65","778.29","1,179.00","717.70","1,11,44,005","8,67,32,68,253.45","2,74,052"
"09-Jan-2025","EQ","800.00","810.00","769.45","794.95","781.40","780.10","784.85","1,179.00","717.70","1,79,48,464","14,08,69,40,933.35","3,66,805"
"08-Jan-2025","EQ","792.60","797.00","781.65","793.25","795.50","794.95","789.86","1,179.00","717.70","1,18,61,066","9,36,86,07,134.30","2,55,679"
"07-Jan-2025","EQ","776.00","796.95","772.50","776.25","792.50","793.25","787.61","1,179.00","717.70","1,55,47,971","12,24,56,78,232.50","3,14,304"
"06-Jan-2025","EQ","797.70","797.70","765.30","790.40","776.00","776.25","783.03","1,179.00","717.70","1,69,48,151","13,27,09,05,837.25","3,58,878"
"03-Jan-2025","EQ","768.00","800.60","761.45","765.05","789.00","790.40","786.86","1,179.00","717.70","2,47,73,025","19,49,27,97,930.80","4,57,866"
"02-Jan-2025","EQ","759.30","767.35","749.35","749.25","764.85","765.05","757.34","1,179.00","717.70","1,52,94,572","11,58,31,98,011.40","3,06,615"
"01-Jan-2025","EQ","740.45","751.10","736.00","740.15","749.85","749.25","744.36","1,179.00","717.70","77,92,251","5,80,02,28,118.15","1,70,318"
"31-Dec-2024","EQ","733.65","743.40","732.75","733.65","741.80","740.15","738.63","1,179.00","717.70","70,92,699","5,23,88,65,078.95","1,76,250"
"30-Dec-2024","EQ","753.90","754.90","730.70","750.50","735.25","733.65","738.19","1,179.00","717.70","1,74,41,198","12,87,48,56,448.75","2,76,286"
"27-Dec-2024","EQ","749.00","766.85","745.70","740.80","754.00","750.50","756.69","1,179.00","716.60","1,58,35,079","11,98,23,00,186.70","3,16,642"
"26-Dec-2024","EQ","736.10","747.80","735.55","736.10","741.50","740.80","741.74","1,179.00","716.60","93,43,210","6,93,02,28,321.90","2,35,149"
"24-Dec-2024","EQ","723.50","745.30","722.50","722.20","735.10","736.10","736.40","1,179.00","716.60","1,25,53,555","9,24,43,95,622.15","2,66,530"
"23-Dec-2024","EQ","733.70","734.40","717.70","724.05","721.50","722.20","726.35","1,179.00","716.60","96,53,868","7,01,20,91,746.00","2,93,999"
"20-Dec-2024","EQ","744.30","749.55","721.50","744.05","724.30","724.05","732.88","1,179.00","696.25","1,79,62,656","13,16,44,23,074.60","4,14,949"
"19-Dec-2024","EQ","744.45","755.80","741.40","755.70","745.75","744.05","746.59","1,179.00","696.25","1,71,19,599","12,78,13,07,371.65","3,77,991"
"18-Dec-2024","EQ","774.00","774.25","754.00","779.75","757.00","755.70","761.07","1,179.00","696.25","1,90,85,263","14,52,52,65,872.00","5,08,261"
"17-Dec-2024","EQ","785.50","796.35","778.00","784.80","779.90","779.75","786.01","1,179.00","696.25","1,02,70,253","8,07,24,87,554.55","2,29,057"
"16-Dec-2024","EQ","791.40","793.95","783.00","790.30","785.30","784.80","786.38","1,179.00","696.25","1,00,15,361","7,87,58,43,805.30","1,99,508"
"13-Dec-2024","EQ","789.00","792.50","775.00","786.35","790.70","790.30","784.90","1,179.00","696.25","1,41,01,869","11,06,86,20,355.75","3,54,253"
"12-Dec-2024","EQ","799.20","802.00","785.50","799.10","787.00","786.35","789.09","1,179.00","696.25","1,06,02,758","8,36,65,47,282.55","2,84,424"
"11-Dec-2024","EQ","802.90","806.95","798.20","799.90","799.45","799.10","802.54","1,179.00","696.25","77,63,357","6,23,03,91,478.45","1,59,000"
"10-Dec-2024","EQ","804.80","810.45","797.45","798.75","801.00","799.90","803.15","1,179.00","696.25","1,31,13,082","10,53,18,11,972.20","2,34,736"
"09-Dec-2024","EQ","816.80","820.35","797.00","816.80","799.70","798.75","807.57","1,179.00","696.25","1,55,73,233","12,57,65,11,030.35","3,08,424"
"06-Dec-2024","EQ","793.00","818.85","785.30","792.55","818.00","816.80","802.57","1,179.00","696.25","1,97,16,910","15,82,41,15,624.45","3,47,712"
"05-Dec-2024","EQ","793.00","797.50","781.00","788.10","793.00","792.55","789.55","1,179.00","696.25","1,21,69,428","9,60,83,76,767.00","2,65,144"
"04-Dec-2024","EQ","805.00","806.00","784.05","801.25","788.20","788.10","791.95","1,179.00","696.25","1,23,92,259","9,81,41,07,207.20","3,80,565"
"03-Dec-2024","EQ","795.00","806.00","790.00","790.05","800.10","801.25","798.05","1,179.00","696.25","98,74,135","7,88,00,14,721.85","2,27,850"
"02-Dec-2024","EQ","787.30","796.75","785.00","786.45","790.15","790.05","790.40","1,179.00","696.25","84,25,826","6,65,97,78,913.05","2,17,075"
"29-Nov-2024","EQ","779.50","789.40","777.05","779.45","787.35","786.45","784.67","1,179.00","674.25","1,03,58,590","8,12,80,34,685.40","2,15,035"
"28-Nov-2024","EQ","783.00","792.55","778.00","783.95","781.50","779.45","784.58","1,179.00","674.25","1,09,39,142","8,58,26,55,140.35","2,72,953"
"27-Nov-2024","EQ","785.05","791.90","779.10","783.00","785.20","783.95","785.34","1,179.00","674.25","1,00,14,685","7,86,49,75,782.45","2,00,451"
"26-Nov-2024","EQ","797.15","801.80","780.15","796.60","784.20","783.00","789.35","1,179.00","674.25","1,03,10,838","8,13,88,74,098.80","2,27,912"
"25-Nov-2024","EQ","808.05","810.20","793.65","791.00","797.40","796.60","799.70","1,179.00","674.25","1,51,94,167","12,15,07,25,002.25","2,63,327"
"22-Nov-2024","EQ","775.00","794.00","775.00","773.85","794.00","791.00","784.59","1,179.00","670.70","1,45,35,112","11,40,41,08,458.45","3,00,768"
"21-Nov-2024","EQ","784.95","785.95","766.25","783.20","774.00","773.85","775.95","1,179.00","670.70","1,41,94,678","11,01,43,64,694.60","3,19,937"
"19-Nov-2024","EQ","771.90","799.90","771.90","771.90","781.95","783.20","790.20","1,179.00","670.70","1,40,12,014","11,07,23,36,524.20","2,79,101"
"18-Nov-2024","EQ","778.00","781.75","759.20","774.30","772.50","771.90","770.60","1,179.00","670.70","1,70,53,446","13,14,13,59,276.30","4,19,815"
"14-Nov-2024","EQ","786.60","792.00","772.00","786.25","776.00","774.30","779.43","1,179.00","649.30","1,17,40,909","9,15,12,58,844.20","3,13,693"
"13-Nov-2024","EQ","787.00","792.65","775.55","784.85","786.85","786.25","785.62","1,179.00","649.30","1,46,74,022","11,52,82,10,756.95","3,91,032"
"12-Nov-2024","EQ","806.00","813.10","783.05","804.70","784.75","784.85","792.60","1,179.00","649.30","1,65,26,921","13,09,92,59,115.85","5,94,079"
"11-Nov-2024","EQ","801.00","831.45","792.00","805.45","805.00","804.70","816.67","1,179.00","649.30","2,75,87,619","22,52,99,43,363.60","5,75,463"
"08-Nov-2024","EQ","821.95","822.00","801.10","819.75","803.55","805.45","807.29","1,179.00","641.90","1,60,72,692","12,97,52,78,301.60","4,78,152"
"07-Nov-2024","EQ","841.00","842.75","817.30","839.70","821.80","819.75","826.73","1,179.00","641.90","1,32,37,161","10,94,35,75,455.95","3,81,746"
"06-Nov-2024","EQ","843.90","843.90","826.00","835.65","840.50","839.70","836.11","1,179.00","641.90","1,05,79,596","8,84,57,13,534.70","2,73,406"
"05-Nov-2024","EQ","821.50","843.60","820.40","824.10","835.60","835.65","832.40","1,179.00","641.90","1,02,15,249","8,50,31,92,983.75","2,55,937"
"04-Nov-2024","EQ","840.00","844.45","814.50","843.45","824.20","824.10","822.77","1,179.00","641.90","1,55,14,419","12,76,47,67,992.30","4,67,713"
"01-Nov-2024","EQ","847.95","847.95","840.00","834.05","843.10","843.45","844.54","1,179.00","621.85","29,00,548","2,44,96,18,401.30","1,34,792"
"31-Oct-2024","EQ","843.85","843.85","831.85","840.20","835.25","834.05","835.59","1,179.00","621.85","1,19,04,413","9,94,71,96,716.70","2,87,659"
"30-Oct-2024","EQ","846.00","853.60","838.05","842.75","840.00","840.20","845.85","1,179.00","621.85","1,29,33,218","10,93,96,24,878.40","3,28,464"
"29-Oct-2024","EQ","880.25","882.50","825.70","878.45","844.00","842.75","843.06","1,179.00","621.85","2,68,18,871","22,60,98,93,023.45","7,26,757"
"28-Oct-2024","EQ","867.85","886.75","860.20","864.30","881.90","878.45","876.38","1,179.00","621.85","71,06,045","6,22,75,76,352.30","2,03,043"
