"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Jan-2025","EQ","130.50","133.20","129.31","130.37","130.50","129.74","131.01","184.60","122.62","3,70,92,106","4,85,96,03,275.51","2,32,578"
"23-Jan-2025","EQ","127.85","130.75","127.70","128.92","130.65","130.37","130.01","184.60","122.62","2,07,22,538","2,69,40,72,514.27","1,49,396"
"22-Jan-2025","EQ","130.25","130.35","127.12","129.70","128.85","128.92","128.45","184.60","122.62","2,75,05,569","3,53,30,07,239.30","1,96,312"
"21-Jan-2025","EQ","132.06","132.40","129.25","131.66","129.78","129.70","130.69","184.60","122.62","3,22,38,213","4,21,33,67,366.39","2,16,078"
"20-Jan-2025","EQ","130.99","132.10","128.91","130.28","131.47","131.66","130.59","184.60","122.62","2,05,71,916","2,68,64,64,953.32","1,73,350"
"17-Jan-2025","EQ","127.90","131.16","127.64","127.81","130.15","130.28","129.60","184.60","122.62","2,74,21,959","3,55,37,81,052.65","2,08,791"
"16-Jan-2025","EQ","128.00","128.47","126.56","126.53","127.70","127.81","127.54","184.60","122.62","2,21,64,393","2,82,68,49,469.18","1,76,428"
"15-Jan-2025","EQ","128.00","128.31","125.78","126.93","126.60","126.53","127.00","184.60","122.62","1,87,73,125","2,38,41,73,457.53","1,96,481"
"14-Jan-2025","EQ","122.94","127.64","122.94","122.93","127.22","126.93","126.13","184.60","122.62","3,68,77,365","4,65,14,65,899.79","2,53,782"
"13-Jan-2025","EQ","126.00","126.50","122.62","127.43","122.80","122.93","124.43","184.60","122.62","3,89,68,332","4,84,87,85,035.50","3,30,215"
"10-Jan-2025","EQ","129.93","130.39","126.70","129.93","127.78","127.43","128.02","184.60","126.70","3,48,55,510","4,46,23,16,144.21","2,61,109"
"09-Jan-2025","EQ","132.00","132.40","129.70","132.64","130.12","129.93","130.53","184.60","128.20","3,19,03,107","4,16,42,81,728.67","2,52,233"
"08-Jan-2025","EQ","133.93","134.24","131.77","133.38","132.55","132.64","132.65","184.60","128.20","3,15,70,331","4,18,76,51,105.64","2,62,476"
"07-Jan-2025","EQ","132.78","133.88","132.01","132.18","133.18","133.38","133.05","184.60","128.20","2,42,39,451","3,22,49,73,077.16","1,93,472"
"06-Jan-2025","EQ","138.36","138.39","131.35","138.36","132.00","132.18","133.44","184.60","128.20","4,46,20,509","5,95,40,73,554.56","3,89,702"
"03-Jan-2025","EQ","138.18","139.73","137.84","138.18","138.33","138.36","138.69","184.60","128.20","2,33,51,832","3,23,86,24,775.28","1,74,962"
"02-Jan-2025","EQ","137.00","138.45","136.40","136.74","138.00","138.18","137.44","184.60","128.20","2,33,88,424","3,21,44,29,963.27","2,12,832"
"01-Jan-2025","EQ","138.10","138.45","136.58","138.05","136.87","136.74","137.06","184.60","128.20","1,81,69,498","2,49,02,38,878.67","1,67,193"
"31-Dec-2024","EQ","136.87","138.68","136.56","136.88","138.10","138.05","137.63","184.60","128.20","2,00,80,291","2,76,36,36,940.24","1,84,867"
"30-Dec-2024","EQ","138.91","139.25","136.09","138.91","137.50","136.88","137.76","184.60","128.20","3,25,55,723","4,48,49,71,555.03","2,08,126"
"27-Dec-2024","EQ","140.70","141.75","138.61","140.36","138.97","138.91","139.95","184.60","128.20","1,95,62,177","2,73,77,25,744.49","1,67,507"
"26-Dec-2024","EQ","140.95","141.15","139.51","140.38","140.60","140.36","140.24","184.60","128.20","2,39,39,932","3,35,72,75,738.90","1,76,823"
"24-Dec-2024","EQ","141.20","141.50","139.25","141.71","140.90","140.38","140.29","184.60","128.20","2,58,82,917","3,63,11,84,790.95","2,20,844"
"23-Dec-2024","EQ","142.45","143.80","140.61","140.68","141.81","141.71","142.37","184.60","128.20","2,75,14,178","3,91,70,66,565.54","1,80,882"
"20-Dec-2024","EQ","142.89","144.40","140.00","143.26","140.45","140.68","142.23","184.60","127.85","4,65,03,449","6,61,42,64,006.51","2,39,716"
"19-Dec-2024","EQ","141.55","143.80","141.10","144.46","143.14","143.26","142.36","184.60","127.85","2,71,04,579","3,85,84,97,950.48","1,76,879"
"18-Dec-2024","EQ","146.00","146.90","143.30","145.68","144.54","144.46","144.65","184.60","127.85","1,98,50,229","2,87,13,62,747.44","1,70,033"
"17-Dec-2024","EQ","147.79","148.50","145.33","147.79","145.65","145.68","146.89","184.60","127.85","2,71,10,781","3,98,24,33,031.75","1,78,654"
"16-Dec-2024","EQ","148.94","149.80","147.10","148.95","147.80","147.79","148.03","184.60","127.85","2,26,34,773","3,35,06,62,277.23","1,34,545"
"13-Dec-2024","EQ","150.00","150.05","145.55","150.78","148.80","148.95","147.45","184.60","127.85","3,97,01,388","5,85,37,97,485.13","2,44,523"
"12-Dec-2024","EQ","150.87","151.63","148.70","150.60","150.40","150.78","150.22","184.60","127.85","2,57,61,723","3,87,00,04,937.04","2,10,043"
"11-Dec-2024","EQ","150.59","152.11","150.06","150.32","150.65","150.60","151.24","184.60","127.85","2,04,99,709","3,10,03,14,497.16","1,54,183"
"10-Dec-2024","EQ","150.19","152.50","149.31","149.88","150.38","150.32","150.93","184.60","127.85","3,62,78,104","5,47,54,08,272.35","1,98,144"
"09-Dec-2024","EQ","148.29","150.67","146.63","148.29","149.70","149.88","148.72","184.60","127.85","3,90,59,139","5,80,90,31,759.51","2,13,740"
"06-Dec-2024","EQ","147.50","148.68","146.60","147.07","148.10","148.29","147.54","184.60","127.85","3,06,04,899","4,51,55,76,192.18","1,52,986"
"05-Dec-2024","EQ","146.50","147.88","144.80","145.85","147.11","147.07","146.48","184.60","127.85","3,63,28,245","5,32,11,83,497.69","3,20,660"
"04-Dec-2024","EQ","147.00","147.05","144.00","146.54","145.89","145.85","145.43","184.60","127.85","3,85,37,808","5,60,44,63,660.25","2,93,458"
"03-Dec-2024","EQ","146.75","148.20","146.34","146.41","146.60","146.54","146.87","184.60","127.85","3,55,27,228","5,21,80,28,534.67","2,56,795"
"02-Dec-2024","EQ","144.11","146.83","143.14","144.54","146.36","146.41","145.29","184.60","127.85","2,38,40,351","3,46,36,51,919.14","1,78,524"
"29-Nov-2024","EQ","143.90","145.49","143.05","143.39","144.45","144.54","144.47","184.60","126.00","2,97,42,979","4,29,70,99,540.79","1,80,493"
"28-Nov-2024","EQ","144.00","145.25","143.09","144.53","143.63","143.39","144.13","184.60","126.00","3,09,47,861","4,46,05,28,750.48","2,67,599"
"27-Nov-2024","EQ","144.31","144.90","142.90","144.47","144.64","144.53","143.94","184.60","126.00","2,48,95,631","3,58,34,50,837.82","1,71,733"
"26-Nov-2024","EQ","144.22","145.80","143.58","143.67","144.42","144.47","144.86","184.60","126.00","2,56,08,469","3,70,96,54,966.85","1,40,188"
"25-Nov-2024","EQ","144.94","146.15","142.84","142.78","143.87","143.67","144.36","184.60","126.00","5,38,83,890","7,77,88,49,397.59","1,94,245"
"22-Nov-2024","EQ","140.15","143.19","139.65","140.22","142.55","142.78","141.57","184.60","124.05","4,37,10,169","6,18,80,14,583.09","2,18,947"
"21-Nov-2024","EQ","139.50","141.60","137.25","139.46","140.00","140.22","139.78","184.60","124.05","5,83,98,744","8,16,28,40,711.77","3,07,883"
"19-Nov-2024","EQ","142.00","142.49","139.06","141.21","139.58","139.46","140.88","184.60","124.05","3,76,11,903","5,29,87,00,773.90","2,10,103"
"18-Nov-2024","EQ","139.49","143.25","138.00","137.98","141.20","141.21","140.81","184.60","124.05","4,02,33,848","5,66,52,74,322.36","2,69,998"
"14-Nov-2024","EQ","139.71","140.73","137.50","139.17","138.10","137.98","138.75","184.60","119.90","3,63,45,184","5,04,29,69,174.22","2,92,008"
"13-Nov-2024","EQ","143.60","143.60","138.60","144.17","139.69","139.17","140.03","184.60","119.90","5,76,09,083","8,06,67,78,657.17","4,28,370"
"12-Nov-2024","EQ","145.65","147.13","143.60","145.01","143.90","144.17","145.51","184.60","119.90","2,88,61,672","4,19,97,99,655.07","2,46,899"
"11-Nov-2024","EQ","147.57","147.69","144.10","147.57","145.30","145.01","145.58","184.60","119.90","4,74,97,863","6,91,45,06,463.50","3,15,622"
"08-Nov-2024","EQ","152.00","152.00","146.94","150.95","147.30","147.57","149.20","184.60","117.50","6,19,80,989","9,24,74,04,903.34","2,88,855"
"07-Nov-2024","EQ","156.11","156.92","150.20","153.62","151.15","150.95","153.48","184.60","117.50","8,82,54,789","13,54,54,12,839.66","3,73,011"
"06-Nov-2024","EQ","154.00","154.95","149.59","152.29","153.81","153.62","151.73","184.60","117.50","4,89,28,986","7,42,39,63,642.10","2,61,381"
"05-Nov-2024","EQ","147.00","152.55","146.95","146.95","152.45","152.29","150.69","184.60","117.50","4,27,72,283","6,44,51,42,415.20","2,44,601"
"04-Nov-2024","EQ","150.00","150.00","145.10","149.75","147.10","146.95","146.86","184.60","117.50","2,55,71,021","3,75,54,35,352.87","2,87,395"
"01-Nov-2024","EQ","149.66","150.25","149.00","148.56","149.70","149.75","149.85","184.60","114.60","51,06,804","76,52,48,053.69","90,862"
"31-Oct-2024","EQ","149.08","149.95","148.20","148.97","148.33","148.56","148.87","184.60","114.60","2,63,83,702","3,92,76,61,607.97","1,92,116"
"30-Oct-2024","EQ","148.10","150.95","148.10","150.06","148.85","148.97","149.65","184.60","114.60","2,13,62,130","3,19,69,26,857.03","1,79,907"
"29-Oct-2024","EQ","149.85","150.45","146.55","149.38","150.10","150.06","148.24","184.60","114.60","3,22,58,407","4,78,20,62,026.21","2,78,118"
