"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Jan-2025","EQ","3,407.00","3,447.65","3,380.45","3,398.55","3,398.00","3,402.15","3,406.34","3,886.95","3,055.65","5,64,244","1,92,20,08,513.75","50,633"
"23-Jan-2025","EQ","3,356.45","3,433.00","3,325.50","3,356.45","3,399.30","3,398.55","3,393.01","3,886.95","3,055.65","7,13,603","2,42,12,64,041.15","69,051"
"22-Jan-2025","EQ","3,354.80","3,385.00","3,334.65","3,353.35","3,355.00","3,356.45","3,360.13","3,886.95","3,055.65","5,98,329","2,01,04,64,271.15","56,381"
"21-Jan-2025","EQ","3,400.95","3,412.70","3,335.15","3,382.25","3,364.00","3,353.35","3,368.38","3,886.95","3,055.65","10,16,047","3,42,24,35,903.20","85,762"
"20-Jan-2025","EQ","3,374.10","3,407.70","3,347.50","3,357.40","3,393.00","3,382.25","3,384.16","3,886.95","3,055.65","7,22,342","2,44,45,22,674.70","53,540"
"17-Jan-2025","EQ","3,319.90","3,368.00","3,285.05","3,316.90","3,358.05","3,357.40","3,338.55","3,886.95","3,055.65","5,59,153","1,86,67,60,385.90","49,956"
"16-Jan-2025","EQ","3,327.00","3,338.85","3,282.00","3,323.50","3,321.00","3,316.90","3,300.98","3,886.95","3,055.65","11,70,734","3,86,45,64,001.55","80,503"
"15-Jan-2025","EQ","3,322.00","3,340.50","3,283.00","3,322.50","3,322.00","3,323.50","3,306.68","3,886.95","3,055.65","11,69,593","3,86,74,71,672.45","86,331"
"14-Jan-2025","EQ","3,400.00","3,429.00","3,310.00","3,382.75","3,335.00","3,322.50","3,338.78","3,886.95","3,055.65","11,33,561","3,78,47,11,721.55","84,328"
"13-Jan-2025","EQ","3,380.00","3,467.00","3,352.50","3,440.25","3,384.55","3,382.75","3,406.58","3,886.95","3,055.65","12,82,557","4,36,91,27,555.85","94,131"
"10-Jan-2025","EQ","3,462.00","3,488.00","3,428.75","3,487.05","3,439.00","3,440.25","3,453.68","3,886.95","3,055.65","5,70,060","1,96,88,04,832.45","64,008"
"09-Jan-2025","EQ","3,485.95","3,506.45","3,461.55","3,484.05","3,489.00","3,487.05","3,484.27","3,886.95","3,055.65","8,26,237","2,87,88,36,473.20","73,482"
"08-Jan-2025","EQ","3,487.65","3,514.50","3,391.30","3,505.10","3,485.15","3,484.05","3,451.64","3,886.95","3,055.65","13,17,377","4,54,71,08,404.25","1,10,053"
