"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Jan-2025","EQ","559.95","560.45","550.00","557.85","550.40","552.00","554.06","625.00","447.80","15,91,661","88,18,71,447.95","37,745"
"23-Jan-2025","EQ","542.50","559.75","542.05","542.70","556.50","557.85","553.11","625.00","447.80","14,77,011","81,69,50,490.35","38,361"
"22-Jan-2025","EQ","548.00","548.00","531.60","544.25","541.55","542.70","538.68","625.00","447.80","11,91,929","64,20,67,286.40","39,100"
"21-Jan-2025","EQ","557.00","559.90","543.50","552.85","545.50","544.25","549.62","625.00","447.80","17,08,101","93,88,12,799.95","54,745"
"20-Jan-2025","EQ","551.70","555.00","545.35","551.70","554.95","552.85","550.65","625.00","447.80","8,12,869","44,76,03,220.80","23,792"
"17-Jan-2025","EQ","545.00","557.65","543.50","546.30","551.75","551.70","552.00","625.00","447.80","14,61,267","80,66,12,991.10","38,484"
"16-Jan-2025","EQ","546.95","552.95","545.25","546.90","546.60","546.30","548.42","625.00","447.80","8,13,698","44,62,48,491.85","39,781"
"15-Jan-2025","EQ","544.90","552.00","543.15","541.85","545.30","546.90","547.43","625.00","447.80","9,01,487","49,34,97,534.60","58,395"
"14-Jan-2025","EQ","534.95","542.95","531.30","533.65","542.95","541.85","538.78","625.00","447.80","18,31,287","98,66,57,255.80","50,176"
"13-Jan-2025","EQ","546.25","549.00","530.95","548.85","534.25","533.65","538.39","625.00","447.80","17,70,971","95,34,66,891.95","63,330"
"10-Jan-2025","EQ","545.90","555.75","534.50","545.45","547.85","548.85","546.97","625.00","447.80","19,92,839","1,09,00,27,042.45","62,148"
"09-Jan-2025","EQ","541.95","554.65","539.70","539.55","544.05","545.45","548.74","625.00","447.80","28,05,890","1,53,97,08,532.90","87,606"
"08-Jan-2025","EQ","541.15","543.40","531.65","544.45","540.00","539.55","537.91","625.00","447.80","15,59,514","83,88,75,660.85","47,957"
"07-Jan-2025","EQ","521.00","548.65","520.00","521.30","543.60","544.45","542.37","625.00","447.80","47,87,940","2,59,68,14,454.05","75,071"
"06-Jan-2025","EQ","525.00","535.45","516.10","529.55","520.20","521.30","527.33","625.00","447.80","22,41,869","1,18,22,09,561.00","55,046"
"03-Jan-2025","EQ","508.50","533.25","508.50","509.45","530.00","529.55","524.68","625.00","447.80","28,88,197","1,51,53,80,097.05","46,601"
"02-Jan-2025","EQ","500.00","511.90","499.85","500.50","508.95","509.45","507.61","625.00","447.80","15,52,787","78,82,16,087.95","34,472"
"01-Jan-2025","EQ","498.45","501.85","497.20","501.00","501.75","500.50","499.54","625.00","447.80","5,88,602","29,40,29,688.80","21,227"
"31-Dec-2024","EQ","497.05","505.45","493.00","500.75","503.30","501.00","499.86","625.00","447.80","12,17,836","60,87,43,573.95","23,122"
"30-Dec-2024","EQ","502.00","508.35","497.00","502.05","501.00","500.75","503.05","625.00","447.80","20,19,209","1,01,57,58,087.10","36,732"
"27-Dec-2024","EQ","498.00","519.65","497.40","499.65","501.00","502.05","502.27","625.00","447.80","16,70,587","83,90,86,857.45","26,084"
"26-Dec-2024","EQ","503.10","507.05","495.85","504.50","500.00","499.65","499.11","625.00","447.80","14,27,526","71,24,91,854.25","35,083"
"24-Dec-2024","EQ","507.00","512.50","501.70","507.70","503.00","504.50","506.57","625.00","447.80","9,49,150","48,08,15,535.05","22,525"
"23-Dec-2024","EQ","505.55","510.15","496.00","504.50","507.00","507.70","504.07","625.00","447.80","11,78,165","59,38,82,296.85","27,003"
"20-Dec-2024","EQ","520.00","522.60","501.50","518.35","503.40","504.50","507.92","625.00","447.80","28,51,827","1,44,84,97,098.20","40,815"
"19-Dec-2024","EQ","524.00","525.55","517.35","532.25","519.50","518.35","520.34","625.00","447.80","11,87,222","61,77,56,248.80","27,546"
"18-Dec-2024","EQ","538.80","543.85","531.30","538.40","531.70","532.25","536.99","625.00","447.80","12,08,566","64,89,93,856.20","21,851"
"17-Dec-2024","EQ","544.10","552.00","536.65","547.95","537.70","538.40","544.26","625.00","447.80","16,37,281","89,11,14,172.70","27,386"
"16-Dec-2024","EQ","549.80","551.50","542.70","550.25","547.00","547.95","547.24","625.00","447.80","12,10,467","66,24,18,429.65","19,413"
"13-Dec-2024","EQ","547.45","551.25","535.70","547.45","549.65","550.25","542.80","625.00","447.80","22,42,153","1,21,70,31,520.85","30,149"
"12-Dec-2024","EQ","553.95","554.85","542.95","552.00","547.05","547.45","547.01","625.00","447.80","15,81,082","86,48,67,551.65","31,145"
"11-Dec-2024","EQ","552.00","566.70","551.05","549.95","553.75","552.00","559.92","625.00","447.80","53,34,736","2,98,69,98,967.05","65,587"
"10-Dec-2024","EQ","554.85","557.60","548.60","555.40","551.50","549.95","551.07","625.00","447.80","29,49,316","1,62,52,90,314.40","31,157"
"09-Dec-2024","EQ","559.80","562.25","552.05","562.65","555.00","555.40","556.24","625.00","447.80","29,22,928","1,62,58,50,443.70","49,031"
"06-Dec-2024","EQ","557.85","566.25","556.00","558.20","562.00","562.65","561.94","625.00","447.80","29,70,258","1,66,91,17,860.05","39,485"
"05-Dec-2024","EQ","568.90","569.75","552.00","567.95","559.30","558.20","558.16","625.00","447.80","20,06,983","1,12,02,17,702.30","40,517"
"04-Dec-2024","EQ","565.80","572.70","563.50","563.10","571.00","567.95","568.17","625.00","447.80","22,18,877","1,26,07,00,130.35","28,616"
"03-Dec-2024","EQ","556.00","566.90","553.60","555.05","562.30","563.10","561.32","625.00","447.80","20,73,190","1,16,37,30,558.85","60,108"
"02-Dec-2024","EQ","546.90","558.00","540.55","545.00","554.05","555.05","551.70","625.00","447.80","16,87,736","93,11,22,686.75","27,215"
"29-Nov-2024","EQ","546.50","547.90","538.25","546.90","544.55","545.00","542.81","625.00","447.80","14,65,623","79,55,50,077.45","26,728"
"28-Nov-2024","EQ","548.20","557.15","545.00","548.20","548.00","546.90","551.48","625.00","447.80","17,48,362","96,41,82,988.55","32,070"
"27-Nov-2024","EQ","553.00","554.30","539.00","551.75","548.40","548.20","545.28","625.00","447.80","17,03,921","92,91,08,686.15","39,435"
"26-Nov-2024","EQ","545.00","558.75","541.10","568.55","550.60","551.75","553.06","625.00","447.80","26,45,846","1,46,33,23,221.65","50,551"
"25-Nov-2024","EQ","570.00","578.40","566.60","566.40","570.50","568.55","571.13","625.00","447.80","58,73,405","3,35,44,95,712.95","83,407"
"22-Nov-2024","EQ","555.75","569.95","545.85","555.75","565.50","566.40","560.54","625.00","447.80","34,55,747","1,93,70,78,746.60","59,870"
"21-Nov-2024","EQ","544.00","565.65","536.85","546.80","555.75","555.75","554.29","625.00","447.80","1,00,11,530","5,54,92,87,953.30","1,12,337"
"19-Nov-2024","EQ","533.10","555.55","531.85","536.90","545.50","546.80","546.76","625.00","447.80","28,77,510","1,57,33,06,534.10","67,602"
"18-Nov-2024","EQ","528.50","541.80","514.65","525.80","533.00","536.90","529.73","625.00","447.80","30,36,277","1,60,84,09,051.55","58,818"
"14-Nov-2024","EQ","519.90","532.80","509.45","515.40","531.50","525.80","520.44","625.00","447.80","37,41,207","1,94,70,55,431.90","67,078"
"13-Nov-2024","EQ","528.00","530.50","504.30","527.75","519.95","515.40","514.92","625.00","447.80","34,36,328","1,76,94,17,695.60","86,994"
"12-Nov-2024","EQ","530.00","552.80","524.00","515.15","528.00","527.75","539.20","625.00","447.80","94,15,040","5,07,65,81,815.50","1,33,879"
"11-Nov-2024","EQ","553.15","553.20","510.00","557.60","513.30","515.15","525.99","625.00","447.80","99,14,435","5,21,48,80,086.90","1,61,960"
"08-Nov-2024","EQ","569.95","572.95","555.05","567.15","556.60","557.60","561.62","625.00","447.80","6,96,687","39,12,72,480.15","27,252"
"07-Nov-2024","EQ","569.90","575.45","564.70","567.25","568.00","567.15","569.42","625.00","447.80","8,86,267","50,46,56,635.75","26,879"
"06-Nov-2024","EQ","559.10","569.00","554.30","559.05","567.50","567.25","563.21","625.00","447.80","14,91,608","84,00,85,382.80","33,311"
"05-Nov-2024","EQ","552.00","561.85","549.05","552.65","558.00","559.05","555.94","625.00","447.80","8,94,138","49,70,85,220.05","30,486"
"04-Nov-2024","EQ","555.10","559.90","539.80","558.40","551.95","552.65","550.02","625.00","447.80","13,34,874","73,42,07,706.55","33,266"
"01-Nov-2024","EQ","553.65","562.00","553.65","553.65","558.50","558.40","558.76","625.00","447.80","1,63,230","9,12,05,842.40","6,059"
"31-Oct-2024","EQ","546.25","555.95","542.00","546.25","554.00","553.65","550.02","625.00","447.80","11,71,233","64,41,98,689.15","40,623"
"30-Oct-2024","EQ","533.00","552.40","527.65","534.65","544.80","546.25","542.14","625.00","447.80","17,51,552","94,95,77,720.15","48,418"
"29-Oct-2024","EQ","531.80","538.20","524.50","531.80","534.60","534.65","530.56","625.00","447.80","10,53,752","55,90,78,365.15","31,798"
"28-Oct-2024","EQ","520.05","541.25","520.05","521.95","532.90","531.80","533.27","625.00","447.80","10,80,853","57,63,87,978.30","33,537"
