"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Jan-2025","EQ","319.00","322.50","316.60","317.70","319.95","320.10","319.91","596.00","280.50","1,74,79,586","5,59,19,40,063.10","1,62,614"
"23-Jan-2025","EQ","311.10","324.60","310.65","309.10","317.70","317.70","319.20","596.00","280.50","3,99,04,371","12,73,74,62,398.95","3,72,523"
"22-Jan-2025","EQ","299.35","310.00","299.35","298.35","309.90","309.10","306.19","596.00","280.50","3,08,59,317","9,44,87,83,185.70","2,61,178"
"21-Jan-2025","EQ","302.40","305.85","297.80","300.25","298.15","298.35","300.92","596.00","280.50","1,56,19,474","4,70,02,25,888.20","1,36,792"
"20-Jan-2025","EQ","302.00","305.40","296.95","281.95","300.50","300.25","301.18","596.00","280.50","3,93,80,165","11,86,03,40,505.50","2,91,765"
"17-Jan-2025","EQ","287.80","287.80","280.50","288.05","281.70","281.95","283.15","596.00","280.50","93,58,955","2,65,00,06,805.45","1,22,143"
"16-Jan-2025","EQ","295.90","296.50","286.70","292.65","288.85","288.05","289.09","596.00","286.55","1,03,45,666","2,99,08,29,442.60","1,45,955"
"15-Jan-2025","EQ","293.00","294.70","289.70","292.85","292.60","292.65","292.07","596.00","286.55","46,62,694","1,36,18,15,377.05","77,903"
"14-Jan-2025","EQ","291.80","294.55","286.55","291.85","292.90","292.85","291.88","596.00","286.55","76,70,070","2,23,87,39,925.35","94,571"
"13-Jan-2025","EQ","298.95","299.25","290.25","300.55","292.55","291.85","293.47","596.00","289.30","95,41,248","2,80,00,66,624.10","1,11,331"
"10-Jan-2025","EQ","294.30","303.25","294.30","292.30","299.65","300.55","300.03","596.00","289.30","1,95,05,556","5,85,22,12,907.90","1,95,857"
"09-Jan-2025","EQ","297.00","298.00","291.35","297.55","292.55","292.30","293.67","596.00","289.30","79,64,702","2,33,90,25,845.65","1,11,802"
"08-Jan-2025","EQ","293.00","298.45","289.30","294.05","296.70","297.55","293.58","596.00","289.30","79,37,785","2,33,03,69,706.15","87,090"
"07-Jan-2025","EQ","294.30","297.50","291.30","294.30","293.90","294.05","293.59","596.00","289.30","73,81,943","2,16,72,52,622.45","79,777"
"06-Jan-2025","EQ","295.00","297.80","290.55","294.45","294.00","294.30","294.25","596.00","289.30","91,73,687","2,69,93,22,101.00","1,27,575"
"03-Jan-2025","EQ","303.30","303.80","294.00","303.80","295.20","294.45","296.46","596.00","289.30","1,25,35,720","3,71,63,21,365.30","1,71,050"
"02-Jan-2025","EQ","298.00","304.45","297.15","300.30","303.00","303.80","301.60","596.00","289.30","88,00,435","2,65,41,94,340.80","1,48,575"
"01-Jan-2025","EQ","300.00","303.35","298.95","301.85","300.60","300.30","300.50","596.00","289.30","78,78,201","2,36,73,86,600.85","70,506"
"31-Dec-2024","EQ","300.95","303.00","295.25","303.70","302.00","301.85","299.75","596.00","289.30","93,37,030","2,79,87,87,560.90","1,05,060"
"30-Dec-2024","EQ","309.10","309.40","302.65","309.10","304.00","303.70","304.43","596.00","289.30","1,37,09,891","4,17,36,84,145.15","1,19,604"
"27-Dec-2024","EQ","305.20","310.90","304.70","305.05","309.40","309.10","308.98","596.00","289.30","80,63,921","2,49,15,83,630.65","81,568"
"26-Dec-2024","EQ","305.40","306.95","304.00","305.30","304.80","305.05","305.27","596.00","289.30","65,16,148","1,98,91,67,003.95","96,741"
